Program Year,Program,SFA ID,SFA Name,Claim Date,Meal Type,Number of Sites/Centers/Providers,Total Enrolled,Number of Operating/Serving Days,Free Meals Served,Reduced Price Meals Served,Paid Meals Served,Total Meals Served,Non-Program Adult Meals,Average Daily Attendance (ADA)
2019 - 2020,School Nutrition Programs,74,Prince George County Public Schools,10/01/2019,1. Breakfast,8,"6,341",23,"26,385","8,147","12,337","46,869",,"6,010"
2019 - 2020,School Nutrition Programs,74,Prince George County Public Schools,10/01/2019,3. Lunch,8,"6,341",23,"36,893","13,605","26,624","77,122",,"6,010"
2019 - 2020,School Nutrition Programs,74,Prince George County Public Schools,11/01/2019,1. Breakfast,8,"6,329",16,"18,148","5,656","9,127","32,931",,"5,942"
2019 - 2020,School Nutrition Programs,74,Prince George County Public Schools,11/01/2019,3. Lunch,8,"6,329",16,"25,135","9,182","19,183","53,500",,"5,942"
2019 - 2020,School Nutrition Programs,74,Prince George County Public Schools,12/01/2019,1. Breakfast,8,"6,345",15,"16,903","5,047","8,003","29,953",,"5,856"
2019 - 2020,School Nutrition Programs,74,Prince George County Public Schools,12/01/2019,3. Lunch,8,"6,345",15,"24,168","8,351","17,240","49,759",,"5,856"
2019 - 2020,School Nutrition Programs,74,Prince George County Public Schools,01/01/2020,1. Breakfast,8,"6,350",18,"21,055","5,972","9,474","36,501",,"5,923"
2019 - 2020,School Nutrition Programs,74,Prince George County Public Schools,01/01/2020,3. Lunch,8,"6,350",18,"30,341","9,949","20,545","60,835",,"5,923"
2019 - 2020,School Nutrition Programs,74,Prince George County Public Schools,02/01/2020,1. Breakfast,8,"6,370",19,"23,553","6,087","10,456","40,096",,"5,886"
2019 - 2020,School Nutrition Programs,74,Prince George County Public Schools,02/01/2020,3. Lunch,8,"6,370",19,"32,912","9,990","21,153","64,055",,"5,886"
2019 - 2020,School Nutrition Programs,74,Prince George County Public Schools,03/01/2020,1. Breakfast,8,"6,369",10,"12,392","3,145","5,642","21,179",,"5,844"
2019 - 2020,School Nutrition Programs,74,Prince George County Public Schools,03/01/2020,3. Lunch,8,"6,369",10,"17,440","5,094","11,410","33,944",,"5,844"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,09/01/2019,1. Breakfast,31,"33,742",20,"28,771","6,836","43,041","78,648",,"32,131"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,09/01/2019,1. Breakfast,63,"57,364",20,"235,721","45,834","83,453","365,008",,"54,197"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,09/01/2019,3. Lunch,94,"91,106",20,"515,651","122,009","465,007","1,102,667",,"86,328"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,09/01/2019,4. PM Snack,6,315,14,640,0,0,640,,127
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,10/01/2019,1. Breakfast,31,"33,864",22,"35,697","8,175","58,231","102,103",,"32,700"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,10/01/2019,1. Breakfast,63,"57,860",22,"277,616","53,199","114,334","445,149",,"55,139"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,10/01/2019,3. Lunch,94,"91,724",22,"558,778","128,981","560,970","1,248,729",,"87,839"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,10/01/2019,4. PM Snack,8,684,22,"2,349",0,0,"2,349",,290
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,11/01/2019,1. Breakfast,31,"33,913",15,"24,819","5,612","40,222","70,653",,"32,241"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,11/01/2019,1. Breakfast,63,"57,900",15,"190,844","36,549","77,272","304,665",,"54,524"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,11/01/2019,3. Lunch,94,"91,813",15,"379,125","86,743","381,740","847,608",,"86,765"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,11/01/2019,4. PM Snack,12,"1,141",10,"2,684",0,0,"2,684",,661
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,12/01/2019,1. Breakfast,31,"33,907",14,"22,400","4,886","34,885","62,171",,"31,916"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,12/01/2019,1. Breakfast,63,"57,854",14,"166,929","30,588","65,623","263,140",,"53,501"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,12/01/2019,3. Lunch,94,"91,761",14,"350,251","77,500","351,891","779,642",,"85,417"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,12/01/2019,4. PM Snack,11,918,11,"2,725",0,0,"2,725",,526
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,01/01/2020,1. Breakfast,31,"33,902",17,"27,501","5,803","43,099","76,403",,"32,198"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,01/01/2020,1. Breakfast,63,"57,927",18,"205,464","37,002","80,611","323,077",,"54,278"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,01/01/2020,3. Lunch,94,"91,829",18,"433,963","93,201","422,529","949,693",,"86,476"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,01/01/2020,4. PM Snack,12,826,12,"2,315",0,0,"2,315",,452
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,02/01/2020,1. Breakfast,31,"33,928",19,"33,765","6,632","51,114","91,511",,"32,136"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,02/01/2020,1. Breakfast,63,"57,983",20,"244,000","41,920","93,932","379,852",,"54,295"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,02/01/2020,3. Lunch,94,"91,911",20,"502,230","101,165","469,927","1,073,322",,"86,431"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,02/01/2020,4. PM Snack,1,102,8,275,101,366,742,,93
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,02/01/2020,4. PM Snack,16,"1,803",15,"7,626",0,0,"7,626",,"1,122"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,03/01/2020,1. Breakfast,31,"33,929",9,"15,520","3,011","24,071","42,602",,"31,126"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,03/01/2020,1. Breakfast,63,"57,933",9,"109,887","19,217","43,200","172,304",,"52,152"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,03/01/2020,3. Lunch,94,"91,862",10,"223,344","45,117","211,681","480,142",,"83,278"
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,03/01/2020,4. PM Snack,1,102,3,106,39,139,284,,95
2019 - 2020,School Nutrition Programs,75,Prince William County Public Schools,03/01/2020,4. PM Snack,15,"1,980",8,"3,548",0,0,"3,548",,"1,124"
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,09/01/2019,1. Breakfast,8,"4,083",20,"30,442","1,109","10,528","42,079",,"3,913"
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,09/01/2019,3. Lunch,8,"4,083",20,"38,952","1,805","16,380","57,137",,"3,913"
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,09/01/2019,4. PM Snack,2,958,20,977,0,0,977,,919
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,10/01/2019,1. Breakfast,8,"4,069",21,"32,045","1,288","11,659","44,992",,"3,894"
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,10/01/2019,3. Lunch,8,"4,069",21,"40,384","1,837","17,800","60,021",,"3,894"
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,10/01/2019,4. PM Snack,2,956,20,964,0,0,964,,919
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,11/01/2019,1. Breakfast,8,"4,062",17,"26,513","1,216","9,617","37,346",,"3,837"
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,11/01/2019,3. Lunch,8,"4,062",17,"32,836","1,576","14,003","48,415",,"3,837"
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,11/01/2019,4. PM Snack,2,954,19,821,0,0,821,,902
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,12/01/2019,1. Breakfast,8,"4,068",12,"17,137",747,"6,107","23,991",,"3,853"
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,12/01/2019,3. Lunch,8,"4,068",12,"23,060","1,057","9,492","33,609",,"3,853"
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,12/01/2019,4. PM Snack,2,959,11,386,0,0,386,,933
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,01/01/2020,1. Breakfast,8,"4,073",17,"24,160",996,"8,509","33,665",,"3,833"
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,01/01/2020,3. Lunch,8,"4,073",17,"32,924","1,574","13,698","48,196",,"3,833"
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,01/01/2020,4. PM Snack,1,541,16,378,0,0,378,,513
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,02/01/2020,1. Breakfast,8,"4,068",17,"25,060",969,"8,703","34,732",,"3,824"
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,02/01/2020,3. Lunch,8,"4,068",17,"32,881","1,468","13,378","47,727",,"3,824"
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,02/01/2020,4. PM Snack,1,535,16,382,0,0,382,,512
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,03/01/2020,1. Breakfast,8,"4,120",8,"12,245",491,"4,400","17,136",,"3,887"
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,03/01/2020,3. Lunch,8,"4,120",8,"15,421",660,"6,214","22,295",,"3,887"
2019 - 2020,School Nutrition Programs,77,Pulaski County Public Schools,03/01/2020,4. PM Snack,1,537,8,120,0,0,120,,497
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,09/01/2019,1. Breakfast,1,312,20,745,213,625,"1,583",,296
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,09/01/2019,1. Breakfast,1,488,20,"1,873",368,"1,503","3,744",,469
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,09/01/2019,3. Lunch,2,800,20,"3,459",790,"3,443","7,692",,765
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,10/01/2019,1. Breakfast,1,312,21,873,131,836,"1,840",,297
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,10/01/2019,1. Breakfast,1,485,21,"1,956",322,"1,713","3,991",,466
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,10/01/2019,3. Lunch,2,797,21,"3,605",655,"3,934","8,194",,763
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,11/01/2019,1. Breakfast,1,310,18,727,143,678,"1,548",,287
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,11/01/2019,1. Breakfast,1,492,18,"1,645",299,"1,428","3,372",,466
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,11/01/2019,3. Lunch,2,802,18,"3,060",567,"3,289","6,916",,753
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,12/01/2019,1. Breakfast,1,309,13,438,105,375,918,,290
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,12/01/2019,1. Breakfast,1,489,13,"1,092",192,816,"2,100",,462
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,12/01/2019,3. Lunch,2,798,13,"2,196",405,"2,351","4,952",,752
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,01/01/2020,1. Breakfast,1,305,15,583,124,409,"1,116",,288
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,01/01/2020,1. Breakfast,1,486,15,"1,281",209,"1,108","2,598",,462
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,01/01/2020,3. Lunch,2,791,16,"2,817",488,"2,757","6,062",,750
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,02/01/2020,1. Breakfast,1,305,18,730,121,531,"1,382",,285
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,02/01/2020,1. Breakfast,1,482,18,"1,562",233,"1,327","3,122",,454
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,02/01/2020,3. Lunch,2,787,18,"3,168",478,"3,010","6,656",,739
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,03/01/2020,1. Breakfast,1,305,7,284,47,236,567,,286
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,03/01/2020,1. Breakfast,1,481,7,564,88,512,"1,164",,452
2019 - 2020,School Nutrition Programs,78,Rappahannock County Public Schools,03/01/2020,3. Lunch,2,786,7,"1,216",214,"1,254","2,684",,738
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,09/01/2019,1. Breakfast,2,"1,308",19,"6,524",0,"2,273","8,797",,"1,273"
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,09/01/2019,3. Lunch,2,"1,308",19,"10,247",0,"3,570","13,817",,"1,273"
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,10/01/2019,1. Breakfast,2,"1,308",23,"8,626",0,"3,006","11,632",,"1,256"
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,10/01/2019,3. Lunch,2,"1,308",23,"13,425",0,"4,677","18,102",,"1,256"
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,11/01/2019,1. Breakfast,2,"1,310",19,"7,180",0,"2,502","9,682",,"1,238"
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,11/01/2019,3. Lunch,2,"1,310",19,"11,099",0,"3,868","14,967",,"1,238"
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,12/01/2019,1. Breakfast,2,"1,302",15,"5,519",0,"1,922","7,441",,"1,228"
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,12/01/2019,3. Lunch,2,"1,302",15,"8,910",0,"3,105","12,015",,"1,228"
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,01/01/2020,1. Breakfast,2,"1,304",21,"7,629",0,"2,658","10,287",,"1,219"
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,01/01/2020,3. Lunch,2,"1,304",21,"12,416",0,"4,327","16,743",,"1,219"
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,02/01/2020,1. Breakfast,2,"1,314",18,"7,041",0,"2,453","9,494",,"1,242"
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,02/01/2020,3. Lunch,2,"1,314",18,"10,694",0,"3,727","14,421",,"1,242"
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,02/01/2020,4. PM Snack,1,769,7,799,0,0,799,,122
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,03/01/2020,1. Breakfast,2,"1,312",10,"3,972",0,"1,384","5,356",,"1,244"
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,03/01/2020,3. Lunch,2,"1,312",10,"5,879",0,"2,049","7,928",,"1,244"
2019 - 2020,School Nutrition Programs,79,Richmond County Public Schools,03/01/2020,4. PM Snack,2,"1,257",4,467,0,0,467,,134
2019 - 2020,School Nutrition Programs,8,Augusta County Public Schools,09/01/2019,1. Breakfast,18,"10,359",19,"38,776","8,203","51,702","98,681",,"9,878"
2019 - 2020,School Nutrition Programs,8,Augusta County Public Schools,09/01/2019,3. Lunch,18,"10,359",19,"46,050","10,094","44,373","100,517",,"9,878"
2019 - 2020,School Nutrition Programs,8,Augusta County Public Schools,10/01/2019,1. Breakfast,18,"10,369",22,"43,274","9,197","63,683","116,154",,"9,860"
2019 - 2020,School Nutrition Programs,8,Augusta County Public Schools,10/01/2019,3. Lunch,18,"10,369",22,"52,273","11,642","53,532","117,447",,"9,860"
2019 - 2020,School Nutrition Programs,8,Augusta County Public Schools,11/01/2019,1. Breakfast,18,"10,352",17,"34,348","7,364","48,221","89,933",,"9,747"
2019 - 2020,School Nutrition Programs,8,Augusta County Public Schools,11/01/2019,3. Lunch,18,"10,352",17,"40,454","9,130","41,139","90,723",,"9,747"
2019 - 2020,School Nutrition Programs,8,Augusta County Public Schools,12/01/2019,1. Breakfast,18,"10,349",13,"24,930","5,259","35,372","65,561",,"9,776"
2019 - 2020,School Nutrition Programs,8,Augusta County Public Schools,12/01/2019,3. Lunch,18,"10,349",13,"30,500","6,951","31,612","69,063",,"9,776"
2019 - 2020,School Nutrition Programs,8,Augusta County Public Schools,01/01/2020,1. Breakfast,18,"10,311",17,"32,265","6,981","44,082","83,328",,"9,713"
2019 - 2020,School Nutrition Programs,8,Augusta County Public Schools,01/01/2020,3. Lunch,18,"10,311",17,"40,848","9,038","40,110","89,996",,"9,713"
2019 - 2020,School Nutrition Programs,8,Augusta County Public Schools,02/01/2020,1. Breakfast,18,"10,309",20,"42,525","7,566","49,613","99,704",,"9,475"
2019 - 2020,School Nutrition Programs,8,Augusta County Public Schools,02/01/2020,3. Lunch,18,"10,309",20,"50,469","9,146","43,689","103,304",,"9,475"
2019 - 2020,School Nutrition Programs,8,Augusta County Public Schools,03/01/2020,1. Breakfast,18,"10,326",9,"19,424","3,362","22,770","45,556",,"9,674"
2019 - 2020,School Nutrition Programs,8,Augusta County Public Schools,03/01/2020,3. Lunch,18,"10,326",9,"22,950","4,157","19,879","46,986",,"9,674"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,09/01/2019,1. Breakfast,21,"14,847",20,"23,204","4,062","15,547","42,813",,"11,255"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,09/01/2019,1. Breakfast,5,"2,041",20,"2,805",486,"2,971","6,262",,"1,939"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,09/01/2019,3. Lunch,26,"16,888",20,"49,253","9,575","58,534","117,362",,"13,194"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,10/01/2019,1. Breakfast,21,"11,848",22,"25,927","4,334","18,245","48,506",,"11,256"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,10/01/2019,1. Breakfast,5,"2,050",22,"3,119",592,"3,442","7,153",,"1,948"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,10/01/2019,3. Lunch,26,"13,898",22,"52,552","10,323","69,219","132,094",,"13,204"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,11/01/2019,1. Breakfast,21,"11,848",18,"22,353","3,664","15,339","41,356",,"11,254"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,11/01/2019,1. Breakfast,5,"2,046",18,"2,785",512,"2,896","6,193",,"1,944"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,01/01/2020,4. PM Snack,1,340,19,806,0,0,806,,327
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,11/01/2019,3. Lunch,26,"13,894",18,"45,043","8,434","56,638","110,115",,"13,198"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,12/01/2019,1. Breakfast,21,"11,848",14,"18,002","2,605","11,195","31,802",,"11,253"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,12/01/2019,1. Breakfast,5,"2,046",14,"2,212",345,"2,045","4,602",,"1,944"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,12/01/2019,3. Lunch,26,"13,894",14,"37,246","6,289","43,676","87,211",,"13,197"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,01/01/2020,1. Breakfast,21,"11,845",17,"21,652","2,816","13,061","37,529",,"11,253"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,01/01/2020,1. Breakfast,5,"2,057",17,"2,736",415,"2,507","5,658",,"1,954"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,01/01/2020,3. Lunch,26,"13,902",17,"45,065","7,170","50,894","103,129",,"13,207"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,02/01/2020,1. Breakfast,21,"11,849",19,"24,648","3,330","14,385","42,363",,"11,257"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,02/01/2020,1. Breakfast,5,"2,073",19,"3,023",451,"2,898","6,372",,"1,970"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,02/01/2020,3. Lunch,26,"13,922",19,"51,362","7,873","56,732","115,967",,"13,225"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,03/01/2020,1. Breakfast,21,"11,819",8,"10,591","1,372","6,300","18,263",,"11,226"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,03/01/2020,1. Breakfast,5,"2,070",8,"1,402",193,"1,329","2,924",,"1,967"
2019 - 2020,School Nutrition Programs,80,Roanoke County Public Schools,03/01/2020,3. Lunch,26,"13,889",8,"21,836","3,288","24,053","49,177",,"13,193"
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,09/01/2019,1. Breakfast,6,"2,750",20,"8,474","1,509","2,683","12,666",,"2,624"
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,09/01/2019,3. Lunch,6,"2,750",20,"14,902","3,254","9,544","27,700",,"2,624"
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,09/01/2019,4. PM Snack,2,887,17,"1,767",0,0,"1,767",,847
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,10/01/2019,1. Breakfast,6,"2,740",22,"9,078","1,608","3,197","13,883",,"2,582"
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,10/01/2019,3. Lunch,6,"2,740",22,"15,954","3,479","11,249","30,682",,"2,582"
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,10/01/2019,4. PM Snack,2,883,20,"2,124",0,0,"2,124",,829
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,11/01/2019,1. Breakfast,6,"2,734",18,"7,386","1,215","2,441","11,042",,"2,502"
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,11/01/2019,3. Lunch,6,"2,734",18,"13,102","2,770","9,258","25,130",,"2,502"
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,11/01/2019,4. PM Snack,2,879,18,"1,593",0,0,"1,593",,803
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,12/01/2019,1. Breakfast,6,"2,733",14,"5,452",800,"1,692","7,944",,"2,583"
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,12/01/2019,3. Lunch,6,"2,733",14,"10,308","1,877","6,962","19,147",,"2,581"
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,12/01/2019,4. PM Snack,2,879,9,847,0,0,847,,834
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,01/01/2020,1. Breakfast,6,"2,723",17,"6,171",945,"1,980","9,096",,"2,428"
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,01/01/2020,3. Lunch,6,"2,723",17,"12,420","2,177","8,093","22,690",,"2,428"
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,01/01/2020,4. PM Snack,2,880,15,"1,418",0,0,"1,418",,787
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,02/01/2020,1. Breakfast,6,"2,718",19,"8,086",932,"2,330","11,348",,"2,553"
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,02/01/2020,3. Lunch,6,"2,718",19,"14,713","2,055","8,577","25,345",,"2,553"
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,02/01/2020,4. PM Snack,2,877,16,"1,604",0,0,"1,604",,821
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,03/01/2020,1. Breakfast,6,"2,720",10,"4,283",416,"1,342","6,041",,"2,523"
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,03/01/2020,3. Lunch,6,"2,720",10,"7,688","1,011","4,515","13,214",,"2,523"
2019 - 2020,School Nutrition Programs,81,Rockbridge County Public Schools,03/01/2020,4. PM Snack,2,877,10,899,0,0,899,,813
2019 - 2020,School Nutrition Programs,82,Rockingham County Public Schools,09/01/2019,1. Breakfast,23,"11,863",20,"36,034","6,098","20,409","62,541",,"11,341"
2019 - 2020,School Nutrition Programs,82,Rockingham County Public Schools,09/01/2019,3. Lunch,23,"11,863",20,"59,031","11,509","53,859","124,399",,"11,341"
2019 - 2020,School Nutrition Programs,82,Rockingham County Public Schools,10/01/2019,1. Breakfast,23,"11,840",22,"39,321","6,615","25,883","71,819",,"11,283"
2019 - 2020,School Nutrition Programs,82,Rockingham County Public Schools,10/01/2019,3. Lunch,23,"11,840",22,"62,871","11,882","64,445","139,198",,"11,283"
2019 - 2020,School Nutrition Programs,82,Rockingham County Public Schools,11/01/2019,1. Breakfast,23,"11,859",16,"29,238","4,846","19,145","53,229",,"11,192"
2019 - 2020,School Nutrition Programs,82,Rockingham County Public Schools,11/01/2019,3. Lunch,23,"11,859",16,"45,911","8,746","46,774","101,431",,"11,192"
2019 - 2020,School Nutrition Programs,82,Rockingham County Public Schools,12/01/2019,1. Breakfast,23,"11,823",14,"24,384","3,748","15,495","43,627",,"11,063"
2019 - 2020,School Nutrition Programs,82,Rockingham County Public Schools,12/01/2019,3. Lunch,23,"11,823",14,"39,868","7,520","41,299","88,687",,"11,063"
2019 - 2020,School Nutrition Programs,82,Rockingham County Public Schools,01/01/2020,1. Breakfast,23,"11,857",17,"29,429","4,301","18,066","51,796",,"11,063"
2019 - 2020,School Nutrition Programs,82,Rockingham County Public Schools,01/01/2020,3. Lunch,23,"11,857",17,"49,318","8,920","48,741","106,979",,"11,063"
2019 - 2020,School Nutrition Programs,82,Rockingham County Public Schools,02/01/2020,1. Breakfast,23,"11,808",19,"35,032","4,663","20,851","60,546",,"11,071"
2019 - 2020,School Nutrition Programs,82,Rockingham County Public Schools,02/01/2020,3. Lunch,23,"11,808",19,"56,989","9,277","53,583","119,849",,"11,071"
2019 - 2020,School Nutrition Programs,82,Rockingham County Public Schools,03/01/2020,1. Breakfast,23,"11,846",8,"15,258","2,130","9,425","26,813",,"11,141"
2019 - 2020,School Nutrition Programs,82,Rockingham County Public Schools,03/01/2020,3. Lunch,23,"11,846",8,"24,014","3,922","22,416","50,352",,"11,141"
2019 - 2020,School Nutrition Programs,83,Russell County Public Schools,09/01/2019,1. Breakfast,11,"3,721",19,"16,625","1,373","3,083","21,081",,"3,546"
2019 - 2020,School Nutrition Programs,83,Russell County Public Schools,09/01/2019,3. Lunch,11,"3,721",19,"28,864","2,861","7,694","39,419",,"3,546"
2019 - 2020,School Nutrition Programs,83,Russell County Public Schools,10/01/2019,1. Breakfast,11,"3,710",23,"20,399","1,572","4,280","26,251",,"3,522"
2019 - 2020,School Nutrition Programs,83,Russell County Public Schools,10/01/2019,3. Lunch,11,"3,710",23,"34,729","3,292","10,584","48,605",,"3,522"
2019 - 2020,School Nutrition Programs,83,Russell County Public Schools,11/01/2019,1. Breakfast,11,"3,727",12,"10,805",874,"2,182","13,861",,"3,505"
2019 - 2020,School Nutrition Programs,83,Russell County Public Schools,11/01/2019,3. Lunch,11,"3,727",12,"18,121","1,737","5,609","25,467",,"3,505"
2019 - 2020,School Nutrition Programs,83,Russell County Public Schools,12/01/2019,1. Breakfast,11,"3,717",13,"10,298",757,"1,694","12,749",,"3,504"
2019 - 2020,School Nutrition Programs,83,Russell County Public Schools,12/01/2019,3. Lunch,11,"3,717",13,"19,521","1,801","5,398","26,720",,"3,504"
2019 - 2020,School Nutrition Programs,83,Russell County Public Schools,01/01/2020,1. Breakfast,11,"3,727",17,"13,731","1,053","2,363","17,147",,"3,373"
2019 - 2020,School Nutrition Programs,83,Russell County Public Schools,01/01/2020,3. Lunch,11,"3,727",17,"25,457","2,240","6,663","34,360",,"3,373"
2019 - 2020,School Nutrition Programs,83,Russell County Public Schools,02/01/2020,1. Breakfast,11,"3,712",16,"12,851",923,"2,157","15,931",,"3,397"
